reviewer,reviewee_1,reviewee_2
Datavista,Plot Wizards,Viz Wizards
Plot Wizards,Viz Wizards,VizMasters
Viz Wizards,VizMasters,Insight Architect
VizMasters,Insight Architect,RoboCops
Insight Architect,RoboCops,Graphical Geniuses
RoboCops,Graphical Geniuses,Data Dazzlers
Graphical Geniuses,Data Dazzlers,GraphGeeks
Data Dazzlers,GraphGeeks,Datavista
GraphGeeks,Datavista,Plot Wizards
